start_profile,strategy,weather_seed,status,loss_reason,months_played,final_budget,final_energy_autarky,final_citizen_satisfaction,final_supply_security,final_score,demand_growth_cap
current,solar_first,81,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,82,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,83,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,84,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,85,lost,bankrupt,12,0,24,100,15,13,2.0
current,solar_first,86,lost,bankrupt,12,0,24,100,15,13,2.0
current,solar_first,87,lost,bankrupt,12,0,24,100,15,13,2.0
current,solar_first,88,lost,bankrupt,12,0,24,100,15,13,2.0
current,solar_first,89,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,90,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,91,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,92,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,93,lost,bankrupt,15,0,48,100,15,15,2.0
current,solar_first,94,lost,bankrupt,14,0,40,100,15,15,2.0
current,solar_first,95,lost,bankrupt,14,0,40,100,15,15,2.0
current,solar_first,96,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,97,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,98,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,99,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,100,lost,bankrupt,14,0,40,100,15,15,2.0
current,wind_first,1,lost,bankrupt,13,0,49,74,12,12,2.0
current,wind_first,2,lost,bankrupt,13,0,49,74,12,12,2.0
current,wind_first,3,lost,bankrupt,13,0,49,74,12,12,2.0
current,wind_first,4,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,5,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,6,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,7,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,8,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,9,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,10,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,11,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,12,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,13,lost,bankrupt,13,0,49,73,17,12,2.0
current,wind_first,14,lost,bankrupt,13,0,49,73,17,12,2.0
current,wind_first,15,lost,bankrupt,13,0,49,73,17,12,2.0
current,wind_first,16,lost,bankrupt,13,0,49,73,17,12,2.0
current,wind_first,17,lost,bankrupt,13,0,49,73,17,12,2.0
current,wind_first,18,lost,bankrupt,13,0,49,73,17,12,2.0
current,wind_first,19,lost,bankrupt,13,0,49,73,17,12,2.0
current,wind_first,20,lost,bankrupt,13,0,50,73,17,13,2.0
current,wind_first,21,lost,bankrupt,14,0,51,75,17,13,2.0
current,wind_first,22,lost,bankrupt,13,0,50,73,17,13,2.0
current,wind_first,23,lost,bankrupt,13,0,50,73,17,13,2.0
current,wind_first,24,lost,bankrupt,13,0,50,73,17,13,2.0
current,wind_first,25,lost,bankrupt,13,0,50,73,17,13,2.0
current,wind_first,26,lost,bankrupt,11,0,55,69,17,12,2.0
current,wind_first,27,lost,bankrupt,11,0,55,69,17,12,2.0
current,wind_first,28,lost,bankrupt,11,0,55,69,17,12,2.0
current,wind_first,29,lost,bankrupt,11,0,55,69,17,12,2.0
current,wind_first,30,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,31,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,32,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,33,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,34,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,35,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,36,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,37,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,38,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,39,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,40,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,41,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,42,lost,bankrupt,12,0,45,71,17,12,2.0
current,wind_first,43,lost,bankrupt,13,0,46,73,17,12,2.0
current,wind_first,44,lost,bankrupt,13,0,46,73,17,12,2.0
current,wind_first,45,lost,bankrupt,13,0,46,73,17,12,2.0
current,wind_first,46,lost,bankrupt,13,0,46,73,17,12,2.0
current,wind_first,47,lost,bankrupt,13,0,46,73,17,12,2.0
current,wind_first,48,lost,bankrupt,13,0,46,73,17,12,2.0
current,wind_first,49,lost,bankrupt,13,0,46,73,17,12,2.0
current,wind_first,50,lost,bankrupt,13,0,48,73,17,12,2.0
current,wind_first,51,lost,bankrupt,13,0,48,73,17,12,2.0
