demand_growth_cap,start_profile,strategy,sessions,completed_sessions,completion_rate,bankrupt_sessions,voted_out_sessions,average_score,average_final_budget,average_final_energy_autarky,average_final_citizen_satisfaction,average_final_supply_security,average_months_played
1.45,challenge,wind_first,100,51,0.51,49,0,14.38,1851134.0,46.03,76.37,17.0,37.16
1.45,challenge,balanced,100,0,0.0,100,0,10.0,0.0,46.25,52.0,12.0,6.74
1.45,challenge,storage_first,100,0,0.0,100,0,6.7,0.0,10.75,50.0,15.0,5.0
1.45,challenge,subsidy_first,100,0,0.0,100,0,15.96,0.0,99.74,65.72,4.0,6.18
1.45,challenge,adaptive,100,0,0.0,100,0,9.33,0.0,46.54,47.11,12.0,9.59
1.5,current,solar_first,100,42,0.42,58,0,19.43,6047349.0,31.17,100.0,15.0,33.11
1.5,current,wind_first,100,20,0.2,80,0,13.65,292769.0,47.04,84.17,17.0,31.94
1.5,current,balanced,100,0,0.0,100,0,12.0,0.0,46.25,74.0,12.0,6.63
1.5,current,storage_first,100,0,0.0,100,0,8.7,0.0,10.75,72.0,15.0,5.0
1.5,current,subsidy_first,100,0,0.0,100,0,18.14,0.0,99.72,87.72,4.0,6.18
1.5,current,adaptive,100,0,0.0,100,0,11.67,0.0,48.02,68.98,12.0,9.42
1.5,challenge,solar_first,100,42,0.42,58,0,19.43,6047349.0,31.17,100.0,15.0,33.11
1.5,challenge,wind_first,100,20,0.2,80,0,12.35,292769.0,47.04,71.19,17.0,31.94
1.5,challenge,balanced,100,0,0.0,100,0,10.0,0.0,46.25,52.0,12.0,6.63
1.5,challenge,storage_first,100,0,0.0,100,0,6.7,0.0,10.75,50.0,15.0,5.0
1.5,challenge,subsidy_first,100,0,0.0,100,0,15.96,0.0,99.72,65.72,4.0,6.18
1.5,challenge,adaptive,100,0,0.0,100,0,9.47,0.0,48.02,46.98,12.0,9.42
1.6,current,solar_first,100,38,0.38,62,0,16.22,2812602.0,30.72,100.0,15.0,31.14
1.6,current,wind_first,100,0,0.0,100,0,13.14,0.0,49.82,77.92,16.85,19.52
1.6,current,balanced,100,0,0.0,100,0,12.0,0.0,45.62,74.0,12.0,6.63
1.6,current,storage_first,100,0,0.0,100,0,8.7,0.0,10.4,72.0,15.0,5.0
1.6,current,subsidy_first,100,0,0.0,100,0,18.1,0.0,99.68,87.64,4.0,6.16
1.6,current,adaptive,100,0,0.0,100,0,11.76,0.0,49.19,68.5,12.0,8.94
1.6,challenge,solar_first,100,38,0.38,62,0,16.22,2812602.0,30.72,100.0,15.0,31.14
1.6,challenge,wind_first,100,0,0.0,100,0,11.25,0.0,49.82,59.88,16.85,19.52
1.6,challenge,balanced,100,0,0.0,100,0,10.0,0.0,45.62,52.0,12.0,6.63
1.6,challenge,storage_first,100,0,0.0,100,0,6.7,0.0,10.4,50.0,15.0,5.0
1.6,challenge,subsidy_first,100,0,0.0,100,0,15.94,0.0,99.68,65.64,4.0,6.16
1.6,challenge,adaptive,100,0,0.0,100,0,9.62,0.0,49.19,46.5,12.0,8.94
1.75,current,solar_first,100,6,0.06,94,0,13.83,208910.0,31.57,100.0,15.0,23.92
1.75,current,wind_first,100,0,0.0,100,0,12.9,0.0,49.08,76.82,16.15,16.37
1.75,current,balanced,100,0,0.0,100,0,12.0,0.0,44.74,74.0,12.0,6.56
1.75,current,storage_first,100,0,0.0,100,0,8.7,0.0,10.4,72.0,15.0,5.0
1.75,current,subsidy_first,100,0,0.0,100,0,18.04,0.0,99.5,87.52,4.0,6.13
1.75,current,adaptive,100,0,0.0,100,0,11.81,0.0,49.35,68.38,12.0,8.67
1.75,challenge,solar_first,100,6,0.06,94,0,13.83,208910.0,31.57,100.0,15.0,23.92
1.75,challenge,wind_first,100,0,0.0,100,0,10.95,0.0,49.08,57.9,16.15,16.37
1.75,challenge,balanced,100,0,0.0,100,0,10.0,0.0,44.74,52.0,12.0,6.56
1.75,challenge,storage_first,100,0,0.0,100,0,6.7,0.0,10.4,50.0,15.0,5.0
1.75,challenge,subsidy_first,100,0,0.0,100,0,15.91,0.0,99.5,65.52,4.0,6.13
1.75,challenge,adaptive,100,0,0.0,100,0,9.71,0.0,49.35,46.38,12.0,8.67
2.0,current,solar_first,100,0,0.0,100,0,13.66,0.0,30.31,100.0,15.0,15.39
2.0,current,wind_first,100,0,0.0,100,0,12.06,0.0,47.79,72.11,16.05,12.46
2.0,current,balanced,100,0,0.0,100,0,12.0,0.0,44.53,74.0,12.0,6.09
2.0,current,storage_first,100,0,0.0,100,0,8.7,0.0,9.9,72.0,15.0,5.0
2.0,current,subsidy_first,100,0,0.0,100,0,17.91,0.0,99.41,86.95,4.0,6.0
2.0,current,adaptive,100,0,0.0,100,0,11.6,0.0,48.75,68.23,11.9,8.41
2.0,challenge,solar_first,100,0,0.0,100,0,13.66,0.0,30.31,100.0,15.0,15.39
2.0,challenge,wind_first,100,0,0.0,100,0,9.59,0.0,47.79,50.11,16.05,12.46
2.0,challenge,balanced,100,0,0.0,100,0,10.0,0.0,44.53,52.0,12.0,6.09
2.0,challenge,storage_first,100,0,0.0,100,0,6.7,0.0,9.9,50.0,15.0,5.0
2.0,challenge,subsidy_first,100,0,0.0,100,0,15.91,0.0,99.41,64.95,4.0,6.0
2.0,challenge,adaptive,100,0,0.0,100,0,9.6,0.0,48.75,46.23,11.9,8.41
